Match type,Search term,Excluded Keyword,Keyword,Impressions
phrase,lyclear head lice treatment,, +lice +treatment,1
broad,can lice jump head to head,, +can +head +lice +jump,1
exact (close variant),treatments for head lice,,[treatment of head lice],1
phrase,vamoose head lice,, +head +lice,1
exact (close variant),best treatments for head lice,, +best +treatment +for +head +lice,1
exact (close variant),head louse treatment,,[head lice treatment],1
broad,quickest way to get rid of head lice,, +head +lice +rid,1
phrase,head lice in a residential care home,, +head +lice,1
exact (close variant),headlice life cycle,,[life cycle of head lice],1
phrase,can you buy lyclear dermal cream over the counter,, +Buy +Lyclear,1
broad,best and quickest way to get rid of headlice,, +head +lice +rid,1
broad,conditioner an vinegar treatment for head lice,, +treatment +for +lice,1
broad,head lice treatment 1 year old,, +treating +lice,1
phrase,where on the head do head lice lay their eggs,, +head +lice,1
phrase,can i use head lice shampoo every day for a week,, +head +lice,1
broad,lice home treanent,, +lice +treatment,1
phrase,head lice treatment suitable for asthmatics,, +head +lice,1
phrase (close variant),lycya headluce shampoo,, +lice +shampoo,1
broad,one treatment head lice,, +treating +lice,1
phrase,head lice bites on skin,, +head +lice,1
phrase,dealing with head lice,, +head +lice,1
phrase (close variant),best for nits and headlice,, +head +lice,1
broad,boots treatment for head lice,, +treatment +for +lice,1
phrase,how do you examinate head lice on hair,, +lice +on +hair,1
phrase,lyreco head lice shampoo,, +lice +shampoo,1
phrase,head lice shampoo specification,, +head +lice,1
phrase,can head lice jump from person to person,, +can +head +lice +jump,1
broad,quick way to get rid of head lice,, +head +lice +rid,1
broad,how to treat head lice on a baby,, +how +to +treat +lice,1
exact (close variant),how ti gt rid of head lice,,[how to get rid of head lice],1
phrase,head lice help line,, +head +lice,1
broad,how to get rid of headlice in one week,, +how +to +rid +of +head +lice,1
broad,get rid of head lice for good,, +head +lice +rid,1
phrase (close variant),superdrug headlice kikler 6.99,, +lice +killer,1
broad,one time treatment for head lice,, +treatment +for +lice,1
broad,strongest head lice treatment,, +treating +lice,1
broad,head lice removal salons near me,, +remove +lice,1
phrase,how can you get head lice,, +head +lice,1
phrase,top 10 head lice treatments,, +head +lice,1
phrase,head lice information packs,, +head +lice,1
broad,shampoo for head lice boots,, +lice +shampoo,1
broad,do lice treatments damage hair,, +lice +hair +treatment,1
phrase,how to clear head lice,, +head +lice,1
broad,new boots head lice treatment,, +new +head +lice +treatment,1
phrase (close variant),if your daughter has headlice can u still work in a kitchen,, +head +lice,1
phrase,can children be banned from nursery with head lice,, +head +lice,1
phrase,how does head lice shampoo work,, +head +lice,1
phrase,side effects of head lice,, +head +lice,1
exact (close variant),natural lice treatments,,[natural treatment for lice],1
phrase (close variant),headlice preventer,, +head +lice,1
broad,does head lice jump on your clothes,, +do +lice +jump,1
phrase (close variant),asthma friendly head lice treatments,, +lice +treatment,1
exact (close variant),head lice sultion,,[head lice solution],1
phrase,head lice handout for parents,, +head +lice,1
phrase,head lice pamphlet for parents northern ireland,, +head +lice,1
