Month,Advertiser,Advertiser ID,Advertiser Status,Advertiser Integration Code,Public Inventory,Advertiser Currency,Impressions,Clicks,Revenue (Adv Currency),Media Cost (Advertiser Currency)
2016/07,Molson Coors_UK_Zenith (DCM),676041,Active,,Yes,GBP,933993,550,14961.965465,10473.576468
2016/03,Disneyland_UK_Blue449,600113,Active,,Yes,GBP,7106489,28975,58020.688021,40237.623114
2016/07,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,No,GBP,5913952,25696,56927.372394,39709.931317
2016/02,SCA_UK_Zenith (non-DCM),707139,Active,,No,GBP,973593,4080,21873.729668,15311.796666
2016/10,Costa_UK_Zenith,586631,Active,,Yes,GBP,24821327,76101,115914.153366,79077.898218
2016/11,Lombard_UK_Zenith,883545,Active,,No,GBP,1293673,3472,12793.808314,8955.672243
2016/01,Dreams_UK_Starcom,303361,Active,,Yes,GBP,1457933,3278,15978.393285,10804.190648
2016/03,Aviva_UK_Zenith,3601,Active,,Yes,GBP,33248924,15407,138049.626167,88084.320926
2016/05,Next_UK_Zenith,378754,Active,,Yes,GBP,182558597,206449,687904.225274,459289.065981
2016/04,Dixons_UK_Blue449-DCM,662172,Active,,Yes,GBP,55911123,31314,94032.810939,65823.939769
2016/09,John Frieda_UK_Zenith,272335,Active,,No,GBP,136587,3084,3637.829277,2546.511563
2016/02,Jaeger LeCoultre_UK_Zenith,321150,Active,,Yes,GBP,171250,111,934.807245,654.373053
2017/01,Toyota_UK_Zenith,5071,Active,,No,GBP,15086900,19938,134730.807208,92292.132098
2016/03,Lexus_UK_Zenith,5072,Active,,Yes,GBP,2603172,3397,18339.277267,12702.375482
2016/04,Costa_UK_Zenith,586631,Active,,No,GBP,703735,18649,5230.696226,3617.876559
2016/07,Lombard_UK_Zenith,883545,Active,,No,GBP,303693,1247,1422.845888,990.525299
2017/01,Mercedes-Benz_UK_Zenith/Ninah,312862,Active,,Yes,GBP,2322485,2079,25603.149957,17922.549083
2016/05,Omega_UK_Zenith,201041,Active,,No,GBP,484856,528,3915.266751,2732.382606
2016/01,Delta Airline_UK_Zenith International,117532,Active,,No,GBP,1863865,1147,16151.389345,11297.744545
2016/02,Staples_UK_Zenith International_EUR,507840,Active,,Yes,EUR,0,3,0.000000,0.000000
2016/02,Entertainment One_UK_Zenith,8451,Active,,Yes,GBP,8407518,27421,59399.808626,41200.392781
2016/01,Net-A-Porter_UK_Zenith,633491,Active,,Yes,GBP,1042660,1121,8410.695093,5889.497703
2016/02,ACER_UK_Zenith,283933,Active,,Yes,GBP,2556948,2737,6872.884989,4503.725122
2016/03,Omega_UK_Zenith,201041,Active,,No,GBP,16221,14,58.541157,35.334430
2016/04,Mercedes-Benz_UK_Zenith/Ninah (non-DFA),365138,Active,,Yes,GBP,5085379,3522,27103.736648,18754.172127
2016/06,Elemis_UK_Zenith,960943,Active,,No,GBP,26426,46,121.861529,84.699370
2016/09,Omega_UK_Zenith,201041,Active,,Yes,GBP,1010930,876,9559.831564,6600.897512
2016/11,Natwest (DFA)_UK_Zenith,333265,Active,,No,GBP,17937729,10165,112188.268584,78988.422154
2016/01,Next_UK_Zenith,378754,Active,,No,GBP,6806074,8667,29894.267391,20909.596291
2016/06,Lombard_UK_Zenith,883545,Active,,No,GBP,200619,102,977.766749,680.234849
2016/03,Swarovski_UK_Zenith,144532,Active,,No,GBP,1320233,1473,10225.633967,7158.036374
2016/10,Lexus (Non DFA)_UK_Zenith,461838,Active,,No,GBP,161,1,3.913567,2.661733
2017/01,Aviva_UK_Zenith,3601,Active,,No,GBP,3086062,3583,13967.549729,8854.918373
2016/01,Disneyland_UK_Blue449,600113,Active,,No,GBP,2149846,7715,12441.035541,8584.284915
2016/01,P&O_UK_Starcom,423260,Active,,No,GBP,14449,7,42.454065,29.029522
2016/02,Boots_UK_Blue449,402838,Active,,Yes,GBP,3135860,3799,14360.027875,10052.212515
2016/11,Elemis_UK_Zenith,960943,Active,,No,GBP,85078,232,398.703202,277.144317
2016/12,Swarovski_UK_Zenith (non-DCM),929549,Active,,No,GBP,374184,7280,9534.719400,6674.385003
2016/01,Aer_Lingus_UK_Starcom_2016,898555,Active,2416302,No,GBP,6456,5,23.159467,14.910009
2016/02,HomeAway_UK_Zenith,628532,Active,,No,GBP,321382,5002,5986.973743,4190.826413
2016/02,Delta Airline_UK_Zenith International,117532,Active,,No,GBP,2010347,1251,16368.701342,11443.581553
2016/04,Lexus (Non DFA)_UK_Zenith,461838,Active,,No,GBP,0,1,0.000000,0.000000
2016/05,Alexander McQueen_UK_Zenith (non-DCM),1074433,Active,,Yes,GBP,370773,448,2179.592362,1525.739927
2016/05,Lexus_UK_Zenith,5072,Active,,Yes,GBP,651891,1865,3749.246623,2624.505974
2016/07,Christies_UK_Zenith International,914143,Active,,No,GBP,1070895,708,10126.098692,6782.700722
2016/01,David Lloyd_UK_Blue449 EUR,644435,Active,,Yes,EUR,3406064,10424,14476.046549,8186.826700
2016/02,Cineworld_UK_Starcom,188063,Active,,Yes,GBP,613867,159,1819.652059,1245.612949
2016/04,Costa_UK_Zenith,586631,Active,,Yes,GBP,2078547,5958,5587.052082,3761.158944
2016/04,NAS_UK_Zenith,997302,Active,,No,GBP,17446,14,75.822778,52.073848
2016/05,Staples_UK_Zenith International_EUR,507840,Active,,Yes,EUR,4971188,3683,19694.257495,13419.909316
2016/01,HomeAway_UK_Zenith,628532,Active,,No,GBP,319483,7115,5026.895687,3517.382048
2016/02,NetworkRail_UK_Blue449,497772,Active,,No,GBP,11142,0,48.679628,32.983489
2016/03,Coty_UK_Zenith,737469,Active,,No,GBP,1401080,6393,8631.929387,6038.977499
2016/05,Aviva_UK_Zenith (non-DCM),861631,Active,,No,GBP,39746,1386,644.842892,426.395182
2016/10,BBC Store_UK_Zenith,813934,Active,,Yes,GBP,1537860,1855,6708.927405,4696.306482
2016/02,Disney Worldwide_UK_Blue449,357260,Active,,Yes,GBP,5782732,10354,23534.777687,15963.382208
2016/01,Creative Content_UK_Zenith,790042,Active,,Yes,GBP,1900198,990,18289.451969,11900.436058
2016/02,Haribo_UK_Blue449,398744,Active,,Yes,GBP,4444899,79636,51447.247597,35895.963300
2016/09,Aviva_UK_Zenith,3601,Active,,No,GBP,3904849,8273,21383.557040,13855.097950
2016/03,National Geographic_UK_Blue449,420233,Active,,No,GBP,36231,250,538.518973,375.647405
2016/06,Mont Blanc_UK_Zenith,265734,Active,,Yes,GBP,494411,401,4307.616405,3015.378865
2016/08,Hästens_UK_Zenith,1171837,Active,,Yes,GBP,620347,814,4598.587639,3219.050623
2016/12,Molson Coors_UK_Zenith (DCM),676041,Active,,Yes,GBP,3308,3,50.916801,35.642445
2016/12,Birds Eye_UK_Zenith,1225156,Active,,Yes,GBP,396619,794,7326.668602,5128.766494
2016/02,MOHG_UK_Blue449 DFA USD,542441,Active,,No,USD,148123,251,1279.652584,890.682893
2016/03,MOHG_UK_Blue449,332932,Active,,No,USD,2088592,4642,40788.158013,28549.594908
2016/05,Haribo_UK_Blue449,398744,Active,,No,GBP,1,0,0.018575,0.013003
