Date,Advertiser,Advertiser Currency Code,Inventory Contract,Impressions,Clicks,Advertiser Cost (Adv Currency),Media Cost (Adv Currency)
03/06/2016,Mercedes-Benz_UK_Zenith,GBP,,351005,242,"85,339,242,331,193,200","56,014,076,614,520,900"
04/06/2016,Mercedes-Benz_UK_Zenith,GBP,,389347,413,"87,589,571,668,660,000","57,962,234,516,222,900"
05/06/2016,Mercedes-Benz_UK_Zenith,GBP,,377378,415,"8,761,165,784,468,250","58,141,546,736,457,600"
06/06/2016,Mercedes-Benz_UK_Zenith,GBP,,369151,434,"86,971,163,418,318,000","57,628,539,902,545,200"
07/06/2016,Mercedes-Benz_UK_Zenith,GBP,,360505,408,"87,604,094,954,888,800","58,379,046,306,666,300"
08/06/2016,Mercedes-Benz_UK_Zenith,GBP,,362777,401,"87,356,171,967,305,700","58,007,233,824,967,300"
09/06/2016,Mercedes-Benz_UK_Zenith,GBP,,350183,382,"87,813,433,586,138,000","5,820,762,842,142,020"
10/06/2016,Mercedes-Benz_UK_Zenith,GBP,,116452,132,"29,169,058,043,407,900","19,410,346,246,986,200"
11/06/2016,Mercedes-Benz_UK_Zenith,GBP,,120006,156,"3,797,572,340,107,960","25,498,777,087,911,600"
12/06/2016,Mercedes-Benz_UK_Zenith,GBP,,99086,136,"31,143,026,968,789,400","20,926,408,578,237,700"
13/06/2016,Mercedes-Benz_UK_Zenith,GBP,,162393,195,"52,690,436,061,283,900","35,329,865,571,762,600"
14/06/2016,Mercedes-Benz_UK_Zenith,GBP,,93642,99,"29,674,001,887,627,800","19,960,598,302,409,100"
15/06/2016,Mercedes-Benz_UK_Zenith,GBP,,77948,84,"28,177,950,452,113,800","1,906,788,660,835,070"
16/06/2016,Mercedes-Benz_UK_Zenith,GBP,,93237,90,"28,353,596,083,137,800","18,962,744,138,397,100"
17/06/2016,Mercedes-Benz_UK_Zenith,GBP,,193396,206,"60,508,736,169,469,700","4,054,442,454,944,910"
18/06/2016,Mercedes-Benz_UK_Zenith,GBP,,267204,290,"88,889,438,970,009,700","59,801,886,895,166,300"
19/06/2016,Mercedes-Benz_UK_Zenith,GBP,,246936,279,"81,872,422,499,050,400","5,516,987,725,824,830"
20/06/2016,Mercedes-Benz_UK_Zenith,GBP,,265442,283,"87,456,249,878,549,700","58,143,083,408,705,300"
